,rt_1,rt_2,rt_3,rt_4,rt_5,rt_6,rt_7
offset_0,1.8661480153766554,1.4807884851821873,1.9140496877577988,1.406652946270268,2.0376582139731934,2.2882310398846335,2.040355928471669
offset_1,-0.42010649748611795,-0.31394078466096637,-0.10251115229666287,-0.1544758217793324,-0.1012703397417913,-0.09718399028374314,-0.10280505276831903
offset_2,-0.6367425161245156,-0.12761323783037873,-0.15402472811251763,0.1053464207672341,-0.4760785038938109,-0.14848037498881494,-0.008550405413705916
offset_3,-1.6206637405514746,-1.0051877035824257,-0.532523037869139,-0.45877944900456347,-1.239846097286555,-0.7716866989470281,-0.4534291091429877
