;choice_0_0;choice_1_0;choice_2_0;choice_3_0;av_0_0;av_1_0;av_2_0;av_3_0;CHARGING_FUELING_TIME_0_0;CHARGING_FUELING_TIME_1_0;CHARGING_FUELING_TIME_2_0;CHARGING_FUELING_TIME_3_0;PURCHASE_PRICE_0_0;RANGE_0_0;PURCHASE_PRICE_1_0;RANGE_1_0;PURCHASE_PRICE_2_0;RANGE_2_0;PURCHASE_PRICE_3_0;RANGE_3_0
492;0;0;0;1;0;1;1;1;0;2;10;2;0;0;9.333333333;9;6.666666667;2.5;12;6
493;1;0;0;0;1;0;1;0;2;0;15;0;14.66666667;7;0;0;17.33333333;6.5;0;0
494;1;0;0;0;1;0;1;1;2;0;15;2;9.333333333;9;0;0;12;2.5;12;6
495;0;0;0;1;1;0;1;1;2;0;25;2;10.47619048;5;0;0;6.666666667;6.5;10.47619048;4
496;0;0;1;0;1;1;1;0;2;2;20;0;10.4;5;4;7;8.8;4.5;0;0
497;0;0;0;1;0;1;1;1;0;2;20;2;0;0;4.285714286;5;18.57142857;4.5;21.42857143;8
498;1;0;0;0;1;0;1;0;2;0;20;0;15.55555556;5;0;0;24.44444444;6.5;0;0
499;0;0;1;0;0;1;1;1;0;2;5;2;0;0;10.58823529;7;12.94117647;6.5;10.58823529;4
500;0;0;0;1;1;0;1;1;2;0;25;2;76;5;0;0;28;4.5;52;8
501;1;0;0;0;1;0;1;1;2;0;25;2;10;5;0;0;18.57142857;4.5;12.85714286;8
502;0;0;1;0;0;0;1;1;0;0;10;2;0;0;0;0;15.55555556;4.5;20;4
503;0;0;1;0;1;0;1;0;2;0;25;0;3.333333333;5;0;0;7.222222222;6.5;0;0
504;0;0;0;1;0;1;1;1;0;2;5;2;0;0;15.71428571;9;12.85714286;4.5;12.85714286;4
505;1;0;0;0;1;1;1;0;2;2;25;0;12;9;36;7;40;2.5;0;0
506;0;0;0;1;0;1;1;1;0;2;5;2;0;0;14.7826087;9;9.565217391;2.5;7.826086957;6
507;1;0;0;0;1;1;1;0;2;2;20;0;20;9;20;5;14.66666667;4.5;0;0
508;0;0;0;1;0;1;1;1;0;2;10;2;0;0;9.473684211;5;6.315789474;6.5;9.473684211;6
509;1;0;0;0;1;0;1;1;2;0;5;2;11.72413793;7;0;0;6.896551724;2.5;6.206896552;6
510;0;0;1;0;1;0;1;0;2;0;20;0;23.75;5;0;0;6.25;4.5;0;0
511;0;0;1;0;1;0;1;0;2;0;20;0;4.615384615;5;0;0;29.23076923;4.5;0;0
512;0;0;0;1;1;0;1;1;2;0;25;2;10.90909091;5;0;0;12.72727273;6.5;16.36363636;6
513;1;0;0;0;1;0;1;1;2;0;25;2;10.90909091;9;0;0;12.72727273;2.5;20;8
514;0;0;1;0;1;0;1;0;2;0;5;0;52;7;0;0;52;6.5;0;0
515;0;0;1;0;0;1;1;1;0;2;15;2;0;0;9.444444444;9;3.888888889;4.5;5;4
516;0;0;1;0;1;1;1;0;2;2;5;0;9.333333333;9;14.66666667;5;14.66666667;4.5;0;0
517;0;0;1;0;0;1;1;1;0;2;10;2;0;0;29.23076923;5;4.615384615;4.5;12.30769231;8
518;0;0;1;0;1;0;1;0;2;0;25;0;9.333333333;9;0;0;14.66666667;2.5;0;0
519;0;0;1;0;0;0;1;1;0;0;10;2;0;0;0;0;9.333333333;2.5;25.33333333;8
520;0;0;1;0;1;1;1;0;2;2;10;0;18.57142857;9;21.42857143;7;7.142857143;2.5;0;0
521;1;0;0;0;1;1;1;0;2;2;5;0;9.333333333;5;6.666666667;9;12;4.5;0;0
522;1;0;0;0;1;1;0;1;2;2;0;2;14.28571429;5;8.571428571;9;0;0;7.619047619;6
523;0;0;0;1;1;0;1;1;2;0;15;2;8.235294118;5;0;0;15.29411765;4.5;20;8
524;0;0;1;0;1;0;1;0;2;0;10;0;12.94117647;9;0;0;5.882352941;4.5;0;0
525;0;0;1;0;0;1;1;1;0;2;5;2;0;0;5.6;9;12;4.5;6.4;4
526;0;0;0;1;0;1;1;1;0;2;5;2;0;0;7.2;5;5.6;2.5;10.4;8
527;0;0;0;1;0;1;1;1;0;2;5;2;0;0;12.85714286;7;8.571428571;2.5;12.85714286;8
528;0;0;1;0;0;1;1;1;0;2;25;2;0;0;5.185185185;5;8.148148148;6.5;6.666666667;6
529;0;0;0;1;1;0;1;1;2;0;20;2;24.28571429;9;0;0;15.71428571;4.5;12.85714286;4
530;0;1;0;0;0;1;1;1;0;2;25;2;0;0;4;7;14.66666667;6.5;14.66666667;4
531;0;0;1;0;0;1;1;1;0;2;15;2;0;0;15.55555556;9;6.666666667;4.5;22.22222222;4
532;0;0;1;0;1;0;1;1;2;0;5;2;9.333333333;9;0;0;17.33333333;4.5;12;4
533;0;1;0;0;0;1;1;1;0;2;10;2;0;0;13.84615385;9;10.76923077;4.5;15.38461538;6
534;1;0;0;0;1;1;1;0;2;2;15;0;3.888888889;9;3.888888889;5;10.55555556;4.5;0;0
535;1;0;0;0;1;0;1;0;2;0;20;0;37.14285714;7;0;0;14.28571429;2.5;0;0
536;0;0;1;0;1;0;1;1;2;0;20;2;13.68421053;9;0;0;7.368421053;2.5;9.473684211;6
537;0;0;1;0;0;1;1;1;0;2;10;2;0;0;5;7;7.222222222;6.5;5;4
538;0;0;0;1;0;0;1;1;0;0;10;2;0;0;0;0;9.333333333;6.5;12;4
539;0;0;1;0;0;1;1;1;0;2;25;2;0;0;17.64705882;5;10.58823529;6.5;10.58823529;6
540;0;0;0;1;1;0;1;1;2;0;10;2;20;9;0;0;23.63636364;4.5;20;4
541;0;0;1;0;1;0;1;1;2;0;15;2;32;9;0;0;12;2.5;36;6
542;0;0;1;0;1;1;1;0;2;2;20;0;11.76470588;5;8.235294118;7;12.94117647;6.5;0;0
543;1;0;0;0;1;1;1;0;2;2;10;0;6.206896552;9;13.10344828;5;7.586206897;4.5;0;0
544;1;0;0;0;1;0;1;1;2;0;5;2;12.72727273;9;0;0;30.90909091;4.5;16.36363636;4
545;0;0;0;1;0;1;1;1;0;2;15;2;0;0;13.68421053;5;7.368421053;4.5;11.57894737;6
546;0;0;0;1;0;1;1;1;0;2;5;2;0;0;4;9;12;4.5;12;4
547;1;0;0;0;1;1;0;1;2;2;0;2;3.157894737;5;13.68421053;7;0;0;13.68421053;8
548;0;0;1;0;1;1;1;0;2;2;10;0;9.230769231;7;26.15384615;5;16.92307692;2.5;0;0
549;0;0;1;0;1;0;1;1;2;0;10;2;33.33333333;5;0;0;15.55555556;6.5;17.77777778;6
550;0;0;1;0;1;1;1;0;2;2;10;0;4;9;8.8;7;7.2;2.5;0;0
551;1;0;0;0;1;0;1;1;2;0;25;2;130;7;0;0;70;6.5;90;4
552;0;1;0;0;1;1;1;0;2;2;10;0;4;7;10.4;5;5.6;6.5;0;0
553;1;0;0;0;1;0;1;1;2;0;5;2;5.6;7;0;0;8.8;2.5;10.4;8
554;0;1;0;0;1;1;1;0;2;2;15;0;15.29411765;7;15.29411765;5;17.64705882;6.5;0;0
555;0;0;1;0;1;1;1;0;2;2;25;0;23.07692308;9;13.84615385;7;16.92307692;2.5;0;0
556;0;0;1;0;0;1;1;0;0;2;10;0;0;0;14.66666667;9;10.66666667;2.5;0;0
557;0;0;0;1;1;0;1;1;2;0;20;2;16.36363636;7;0;0;30.90909091;6.5;20;4
558;0;0;1;0;0;1;1;1;0;2;15;2;0;0;9.333333333;9;12;4.5;13.33333333;4
559;0;1;0;0;0;1;1;0;0;2;25;0;0;0;15.29411765;7;8.235294118;2.5;0;0
560;1;0;0;0;1;0;1;1;2;0;20;2;15.29411765;7;0;0;8.235294118;6.5;10.58823529;4
561;0;0;1;0;1;0;1;0;2;0;5;0;10.47619048;5;0;0;9.523809524;4.5;0;0
562;0;0;0;1;0;0;1;1;0;0;10;2;0;0;0;0;12.72727273;6.5;16.36363636;4
563;1;0;0;0;1;0;1;1;2;0;15;2;8.8;9;0;0;12;4.5;8.8;4
564;0;0;1;0;0;1;1;1;0;2;5;2;0;0;10.58823529;7;7.058823529;2.5;10.58823529;8
